customer_id,points,email,phone_number
1001,2996,david.williams175@gmail.com,8012194698
1002,3877,michael.rodriguez629@yahoo.com,2576009131
1003,3677,jessica.garcia302@hotmail.com,3181974856
1004,2516,michael.smith6@outlook.com,6731116130
1005,182,jessica.smith986@yahoo.com,4933121470
1006,4258,laura.rodriguez200@yahoo.com,5171903876
1007,4958,emily.rodriguez973@gmail.com,1149414656
1008,1033,jessica.brown860@outlook.com,4517226924
1009,2838,david.smith213@outlook.com,1556253045
1010,3405,john.smith308@gmail.com,9094005752
1011,2139,jessica.johnson650@outlook.com,4943883619
1012,4915,laura.smith729@hotmail.com,5187575512
1013,1231,laura.williams154@outlook.com,9227705846
1014,3391,sarah.davis827@yahoo.com,7754824103
1015,2362,chris.williams494@outlook.com,3263171269
1016,3326,chris.williams737@yahoo.com,8166031631
1017,2559,emily.davis418@gmail.com,1480506480
1018,4106,amanda.jones983@gmail.com,3840514010
1019,1913,michael.davis659@hotmail.com,8620514293
1020,4257,brian.jones397@yahoo.com,7063372272
1021,2980,michael.johnson677@outlook.com,4987231989
1022,1239,emily.miller54@gmail.com,7916707719
1023,849,brian.davis78@outlook.com,8306987489
1024,4631,david.garcia94@outlook.com,3308114432
1025,4617,john.rodriguez101@gmail.com,2169870879
1026,4981,david.martinez500@yahoo.com,1223324141
1027,1019,sarah.martinez809@hotmail.com,7010852629
1028,3377,brian.garcia877@hotmail.com,7737246981
1029,2311,sarah.davis620@gmail.com,3645726462
1030,3183,emily.williams966@gmail.com,3922734540
1031,4030,laura.johnson443@yahoo.com,4790588312
1032,1609,michael.garcia867@hotmail.com,7154942375
1033,4322,jessica.johnson7@gmail.com,4374770697
1034,4308,brian.davis763@yahoo.com,8533747734
1035,4881,john.martinez997@gmail.com,7670797037
1036,2935,amanda.garcia296@gmail.com,9605136040
1037,1545,john.rodriguez964@yahoo.com,2983082435
1038,4511,brian.miller725@gmail.com,5536214579
1039,1349,emily.smith565@hotmail.com,8040785424
1040,4298,michael.williams261@yahoo.com,4120985342
1041,2019,jessica.rodriguez627@outlook.com,6664724184
1042,829,laura.davis849@outlook.com,7198413216
1043,3107,david.smith404@gmail.com,6383672552
1044,3216,michael.garcia756@outlook.com,4061749664
1045,1584,brian.johnson905@yahoo.com,9356637546
1046,2079,brian.martinez822@outlook.com,1420364284
1047,2278,john.rodriguez788@hotmail.com,4534637121
1048,3190,amanda.martinez928@yahoo.com,7025679291
1049,4808,sarah.jones643@yahoo.com,4237327775
1050,4418,michael.davis977@gmail.com,9461628093
1051,502,sarah.johnson74@yahoo.com,5457704166
1052,1860,john.williams817@hotmail.com,8295913874
1053,2617,john.johnson632@hotmail.com,5307325424
1054,3818,laura.rodriguez579@hotmail.com,8260832933
1055,3048,jessica.brown961@yahoo.com,9687831078
1056,1142,michael.garcia372@gmail.com,5159901229
1057,2201,sarah.garcia874@hotmail.com,9019680422
1058,2868,david.garcia248@outlook.com,4431619875
1059,1771,michael.jones711@yahoo.com,3457102309
1060,3165,emily.williams139@hotmail.com,5505603180
1061,2523,amanda.martinez825@yahoo.com,4861956657
1062,3956,emily.davis779@outlook.com,8735882598
1063,4158,john.rodriguez110@outlook.com,6070066349
1064,3927,chris.smith604@yahoo.com,5254508686
1065,3677,emily.davis643@hotmail.com,2617573833
1066,42,brian.miller813@gmail.com,5801495437
1067,2851,amanda.martinez822@outlook.com,2860530224
1068,3841,laura.smith463@outlook.com,8858436686
1069,3224,sarah.jones7@hotmail.com,2848202277
1070,2864,john.smith373@outlook.com,9634720038
1071,3500,sarah.johnson430@hotmail.com,4436762949
1072,372,michael.smith355@yahoo.com,9112708291
1073,1587,sarah.davis691@gmail.com,7638297237
1074,3539,john.martinez181@hotmail.com,8730236975
1075,1962,jessica.miller620@gmail.com,4924436501
1076,416,chris.johnson569@outlook.com,6724850799
1077,2380,jessica.johnson23@yahoo.com,5320385278
1078,4350,jessica.miller496@gmail.com,3167648086
1079,3854,john.rodriguez928@gmail.com,3672114203
1080,3305,jessica.davis227@gmail.com,7826498222
1081,4507,jessica.rodriguez472@outlook.com,7690747830
1082,507,jessica.brown732@yahoo.com,6906719352
1083,28,chris.smith619@outlook.com,9257153508
